127.0.0.1 - - [13/Jun/2024:12:12:24 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:12:24 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:12:24 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:15:22 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:15:22 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:16:48 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:17:11 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:17:11 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:18:14 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:18:15 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:18:16 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:18:16 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:07 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:08 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:09 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:09 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:13 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:13 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:13 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:31 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:31 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 200 48046
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:44 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:24:41 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:27 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:28 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:29 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
